train/std,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,time/fps,train/learning_rate,time/total_timesteps,train/value_loss,train/policy_loss,train/explained_variance,train/entropy_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
0.13969890773296356,-116.08999414285712,100,134.42857142857142,99,3293,0.000957566976,12800,0.14341264963150024,-0.1711183786392212,0.9155638664960861,-1.1111618280410767,3,,
0.13751815259456635,-111.4125868888889,200,337.962962962963,199,3334,0.000955109376,25600,0.12633411586284637,0.18990348279476166,0.9468872435390949,-0.7607277035713196,7,,
0.13730329275131226,-95.17547991666667,300,474.48333333333335,299,3321,0.000952651776,38400,0.6126359701156616,-0.3337761163711548,0.9181210696697235,-1.6891250610351562,11,,
0.136606365442276,-90.24226163157896,400,502.80263157894734,399,3343,0.0009501941760000001,51200,0.30435964465141296,0.0496797114610672,0.927299864590168,-0.8278143405914307,15,,
0.13526150584220886,-83.53338706382979,500,559.1808510638298,499,3338,0.0009477365760000001,64000,0.3046765625476837,0.40499550104141235,0.9488128833472729,-1.1622052192687988,19,,
0.13424277305603027,-76.27770978000001,600,607.14,599,3339,0.000945278976,76800,0.17802083492279053,0.3254891037940979,0.9745670780539513,-1.3576284646987915,22,,
0.13442957401275635,-71.56159933999999,700,507.49,699,3335,0.0009428213760000001,89600,0.36220815777778625,-0.010548754595220089,0.9656103365123272,-1.2944010496139526,26,,
0.13396289944648743,-80.51927428,800,409.14,799,3335,0.0009403637760000001,102400,0.23472684621810913,0.3011378049850464,0.9583461359143257,-1.8638787269592285,30,,
0.13305750489234924,-91.69714725,900,309.81,899,3331,0.000937906176,115200,214.03582763671875,-8.830948829650879,0.41186803579330444,-2.21002197265625,34,,
0.1316872090101242,-88.18970448999998,1000,369.73,999,3336,0.000935448576,128000,0.1614445596933365,-0.12630069255828857,0.9599201269447803,-2.0175061225891113,38,,
0.13000532984733582,-77.76266042,1100,459.28,1099,3334,0.000932990976,140800,0.6573626399040222,0.4527875483036041,0.8308321833610535,-2.3809540271759033,42,,
0.129271000623703,-69.11737475,1200,534.89,1199,3344,0.000930533376,153600,0.7956100106239319,0.45720431208610535,0.8236085772514343,-1.6118673086166382,45,,
0.1287311464548111,,,,1249,,0.000929304576,160000,0.16637122631072998,0.3153270483016968,0.930666871368885,-1.9689908027648926,,1600.0,132.189639
0.1281723976135254,-65.23749018000001,1300,549.64,1299,2941,0.000928075776,166400,0.14808794856071472,-0.1149320900440216,0.934390127658844,-1.7198039293289185,56,,
0.1260555386543274,-65.23749018000001,1400,549.64,1399,2969,0.000925618176,179200,0.2110559493303299,0.24606405198574066,0.9646871387958527,-1.922055721282959,60,,
0.1248096227645874,-27.698382700000003,1500,732.65,1499,2991,0.000923160576,192000,1.023659586906433,0.287642240524292,0.9774159472435713,-1.7412396669387817,64,,
0.12332351505756378,-19.80764334,1600,770.28,1599,3013,0.000920702976,204800,189.67860412597656,-12.203097343444824,0.6037310659885406,-2.228569269180298,67,,
0.12175479531288147,3.800824959999998,1700,890.3,1699,3032,0.000918245376,217600,0.06962806731462479,-0.056182801723480225,0.9586623795330524,-1.7513270378112793,71,,
0.12037445604801178,28.114572839999997,1800,943.06,1799,3048,0.000915787776,230400,0.2657669484615326,0.1350189745426178,0.9986136398511007,-1.8118242025375366,75,,
0.11910788714885712,51.32262337,1900,955.06,1899,3059,0.0009133301760000001,243200,0.10344052314758301,0.014739099889993668,0.8695077747106552,-1.5693529844284058,79,,
0.11762753874063492,73.85039364000001,2000,948.8,1999,3070,0.000910872576,256000,0.46775177121162415,0.017614558339118958,0.9984865947626531,-2.038231372833252,83,,
0.1169424057006836,94.56604238,2100,976.86,2099,3081,0.0009084149760000001,268800,0.20403780043125153,-0.0004658140242099762,0.9910939298570156,-1.6919373273849487,87,,
0.11637347936630249,87.08346494999999,2200,816.91,2199,3090,0.000905957376,281600,0.11020127683877945,0.19485381245613098,0.9995384479116183,-1.882910132408142,91,,
0.11590225249528885,69.25363753000002,2300,700.43,2299,3103,0.000903499776,294400,0.9871179461479187,0.17984293401241302,0.9908651169389486,-1.9120879173278809,94,,
0.11579646170139313,28.722394770000005,2400,534.61,2399,3108,0.0009010421760000001,307200,0.8061033487319946,-0.47838911414146423,0.994865249376744,-1.4071422815322876,98,,
0.11566194146871567,,,,2499,,0.000898584576,320000,17.344345092773438,-2.1941237449645996,0.8165685683488846,-1.4546672105789185,,1096.2,278.0066046
,11.96291913,2500,465.6,,2972,,320000,,,,,107,,
0.11471101641654968,-8.14077228,2600,415.14,2599,2986,0.000896126976,332800,0.14152312278747559,0.13229209184646606,0.9051320031285286,-1.5100470781326294,111,,
0.11414581537246704,4.653704010000003,2700,450.14,2699,2998,0.0008936693760000001,345600,0.30296581983566284,0.27048203349113464,0.9560578800737858,-1.477636456489563,115,,
0.11382979154586792,-115.10894841000001,2800,80.39,2799,3003,0.000891211776,358400,236.72666931152344,-15.537810325622559,0.3695720434188843,-2.5206308364868164,119,,
0.1131214052438736,-116.53629399999998,2900,79.78,2899,3014,0.000888754176,371200,0.3512243926525116,0.19261221587657928,0.8875589668750763,-1.6238377094268799,123,,
