rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range
31.601155875000003,1,512,0,31.9375,1023,,,,,,,,,,,
41.860099846153844,2,1024,1,38.57692307692308,817,1.7430388793349265,5,0.33203125,0.13533392548561096,1.8662680387496948,9.80828e-05,0.045610994,0.010607302188873291,2.9737198401242493,-0.015933600510470568,0.2
43.569771621621626,3,1536,1,40.21621621621622,781,1.7431012511253356,10,0.3859375,0.13535073399543762,0.8440784215927124,9.80828e-05,0.22288671,0.1691737174987793,2.092906755954027,-0.025202503864420578,0.2
48.8128840212766,4,2048,2,43.234042553191486,760,1.7432790249586105,15,0.2890625,0.1352636218070984,0.7894268035888672,9.80828e-05,0.03156533,0.45844829082489014,1.544900505244732,-0.016881613328587265,0.2
55.17297233962264,5,2560,3,47.24528301886792,744,1.7457627594470977,20,0.447265625,0.13514293730258942,1.2009576559066772,9.80828e-05,0.23327929,-0.20955908298492432,1.8275855988264085,-0.013336140953470021,0.2
60.51320568852459,6,3072,4,50.114754098360656,734,1.7458727166056633,25,0.316796875,0.1352892369031906,0.973592221736908,9.80828e-05,0.043088473,-0.30468475818634033,2.3391214549541473,0.020336787053383886,0.2
62.840382652173915,7,3584,4,51.391304347826086,731,1.7451615944504737,30,0.3875,0.13513986766338348,1.138316035270691,9.80828e-05,0.08834785,0.5999905169010162,1.053973811864853,0.040471315558534116,0.2
66.90620365789474,8,4096,5,53.80263157894737,721,1.748298092186451,35,0.35,0.1350661665201187,0.30387288331985474,9.80828e-05,0.09969907,0.4135516881942749,0.8067449372261762,-0.02126132554112701,0.2
71.0907194691358,9,4608,6,56.54320987654321,718,1.7481752961874009,40,0.35703125,0.1351468414068222,0.766523003578186,9.80828e-05,0.08656648,0.3688502907752991,1.3971448317170143,-0.029073550179600716,0.2
73.84692235632183,10,5120,7,58.10344827586207,714,1.7472150117158889,45,0.292578125,0.13520176708698273,0.8123394846916199,9.80828e-05,0.064889066,0.6002998650074005,1.0432716473937034,-0.018328747735358773,0.2
78.03912509782609,11,5632,7,60.71739130434783,710,1.7428245648741723,50,0.3015625,0.13553141057491302,0.8587863445281982,9.80828e-05,0.04801938,0.5860204100608826,1.1022680561989546,-0.011120448797009885,0.2
81.07560959375,12,6144,8,62.6875,705,1.7377270400524139,55,0.320703125,0.13556379079818726,0.2434367537498474,9.80828e-05,0.05227258,0.8181076198816299,0.36559196580201386,-0.018739810027182103,0.2
