rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/n_updates
12.754476140000001,2048,16.88,1,1064,1,,,,,,,,,,,
24.78367084,4096,24.42,2,894,4,-0.020461168501060455,0.7126261599827558,-4.238142777979374,0.9870303273200989,0.0003,0.2,0.154638671875,0.2879400849342346,0.22304528951644897,0.013695429,10
40.62363687999999,6144,32.25,3,861,7,-0.02882354882603977,0.6092667228542268,-4.201799988746643,0.9783943295478821,0.0003,0.2,0.191943359375,0.2693800628185272,0.47055065631866455,0.018088762,20
59.37209607,8192,40.66,4,830,9,-0.029466202673211227,0.5411830246448517,-4.170588679611683,0.9671254754066467,0.0003,0.2,0.19755859375,0.2312842309474945,0.4519422650337219,0.018497624,30
78.22500318000002,10240,48.81,5,811,12,-0.022455331320816185,0.41602212260477245,-4.135489290952682,0.9548744559288025,0.0003,0.2,0.162890625,0.14958655834197998,0.2470209002494812,0.011833275,40
101.85041260999998,12288,58.12,6,800,15,-0.021263369114603848,0.32147076008841396,-4.106915500760079,0.9497931003570557,0.0003,0.2,0.150634765625,0.1817260980606079,0.36132121086120605,0.011759442,50
124.97864966999998,14336,68.31,7,800,17,-0.017474510124884546,0.22444959955755622,-4.087245061993599,0.942175567150116,0.0003,0.2,0.137890625,0.14674505591392517,0.5953583419322968,0.012755513,60
146.44753933,16384,77.49,8,794,20,-0.020741047353658358,0.15513079375959932,-4.072468897700309,0.9393139481544495,0.0003,0.2,0.141748046875,0.05838251858949661,0.707102358341217,0.010542011,70
162.17904910000001,18432,84.87,9,794,23,-0.014398221827286761,0.11144058234640397,-4.070340102910995,0.9402839541435242,0.0003,0.2,0.11455078125,0.07451581954956055,0.8389950692653656,0.009184763,80
175.42773217,20480,91.32,10,791,25,-0.02027898583764909,0.13136472998885437,-4.071036159992218,0.9383995532989502,0.0003,0.2,0.152294921875,0.054555945098400116,0.8261510729789734,0.009682139,90
