rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range
21.385340090909093,1,512,0,22.863636363636363,1024,,,,,,,,,,,
22.555477,2,1024,1,23.813953488372093,832,1.7416256472468377,5,0.2984375,0.13538505136966705,0.8246335983276367,9.80828e-05,0.038539726,-0.008276820182800293,3.394869789481163,-0.014577300008386373,0.2
24.354190366666664,3,1536,1,25.433333333333334,790,1.7424583107233047,10,0.398046875,0.13535861670970917,0.11506451666355133,9.80828e-05,0.124591045,0.5989075601100922,0.3220212234184146,-0.023871870548464357,0.2
26.41139754054054,4,2048,2,27.256756756756758,760,1.7445699110627175,15,0.372265625,0.13512787222862244,0.46123960614204407,9.80828e-05,0.13593754,0.5617670118808746,0.622737124748528,-0.02863553409697488,0.2
28.17956564772727,5,2560,3,28.90909090909091,740,1.75035330504179,20,0.39609375,0.1349061280488968,0.1996334195137024,9.80828e-05,0.063136585,0.8535889834165573,0.2638350574299693,-0.03251620725495741,0.2
29.84778287,6,3072,4,30.37,730,1.7550941303372383,25,0.396875,0.1346643716096878,0.059520065784454346,9.80828e-05,0.07264599,0.8705781996250153,0.21885188710875808,-0.0221283646998927,0.2
33.07375213999999,7,3584,4,32.98,721,1.759341686964035,30,0.341015625,0.13453488051891327,0.04917275905609131,9.80828e-05,0.039925877,0.9213742911815643,0.16105388198047876,-0.022939433064311742,0.2
36.806263200000004,8,4096,5,35.95,716,1.7610788002610207,35,0.37734375,0.13449977338314056,0.08965649455785751,9.80828e-05,0.05572106,0.8960169404745102,0.2521994598209858,-0.0322780049405992,0.2
42.08347328000001,9,4608,6,39.57,712,1.763217556476593,40,0.328125,0.1343662291765213,1.172473430633545,9.80828e-05,0.1471631,0.36944442987442017,2.8577416338026524,-0.006703093007672578,0.2
46.52775503999998,10,5120,7,43.02,706,1.7657408103346826,45,0.2375,0.13425448536872864,0.4826976954936981,9.80828e-05,0.090836875,-0.25511443614959717,1.168621894158423,0.015161230158992112,0.2
51.42893676,11,5632,7,46.17,704,1.7680842712521554,50,0.286328125,0.13418494164943695,0.3573198914527893,9.80828e-05,0.06443322,0.8102897256612778,0.6078177485615015,-0.02722030187724158,0.2
59.88194237,12,6144,8,51.13,700,1.7685328274965286,55,0.33515625,0.1342305690050125,0.19478154182434082,9.80828e-05,0.19488716,0.3417165279388428,1.1224076015874744,-0.010059809917584062,0.2
65.05454613,13,6656,9,54.13,696,1.7689001753926277,60,0.449609375,0.13405004143714905,1.309303879737854,9.80828e-05,2.8024027,0.006679236888885498,2.351174119859934,0.008363145776093006,0.2
71.83708445,14,7168,10,58.0,693,1.7720025479793549,65,0.33125,0.1340494453907013,1.6858406066894531,9.80828e-05,0.23591657,0.37823283672332764,2.0600964717566965,-0.005766856367699802,0.2
78.68329575,15,7680,11,61.55,693,1.7713858738541604,70,0.339453125,0.13410764932632446,1.2976475954055786,9.80828e-05,0.053984776,0.43476641178131104,2.1711901515722274,-0.00537348932120949,0.2
86.70465669000001,16,8192,11,65.7,691,1.7697885558009148,75,0.37890625,0.13419269025325775,0.15061251819133759,9.80828e-05,1.2456148,0.8168800622224808,0.32637610398232936,-0.01594909094274044,0.2
91.99083716999999,17,8704,12,68.49,691,1.7675839394330979,80,0.424609375,0.13426214456558228,1.1040347814559937,9.80828e-05,0.109832995,0.6726991832256317,0.9063863029703498,-0.009570973564404995,0.2
99.20087925000001,18,9216,13,72.62,689,1.7668286442756653,85,0.35234375,0.13429133594036102,1.1596537828445435,9.80828e-05,0.038625345,0.40017324686050415,2.2297488056123256,0.004246425750898198,0.2
